80%;;;;;;;;;;;
row ID;TruePositives;FalsePositives;TrueNegatives;FalseNegatives;NUM_ELEMENTOS;TruePositives_porcentaje;FalseNegatives_porcentaje;;;;
1;14;1;21;0;14;1;0;;80%;;
2;12;0;24;0;12;1;0;;Clase;TP;FP
3;9;0;26;1;10;0,9;0,1;;1;0,986666667;0,013333333
1;14;0;21;1;15;0,933333333;0,066666667;;2;0,967948718;0,032051282
2;11;1;23;1;12;0,916666667;0,083333333;;3;0,96;0,04
3;9;1;26;0;9;1;0;;;;
1;16;1;19;0;16;1;0;;;;
2;12;0;23;1;13;0,923076923;0,076923077;;;;
3;7;0;29;0;7;1;0;;;;
1;13;0;23;0;13;1;0;;;;
2;13;0;23;0;13;1;0;;;;
3;10;0;26;0;10;1;0;;;;
1;12;0;24;0;12;1;0;;;;
2;14;1;21;0;14;1;0;;;;
3;9;0;26;1;10;0,9;0,1;;;;
50%;;;;;;;;;;;
1;12;0;24;0;12;1;0;;50%;;
2;11;1;24;0;11;1;0;;Clase;TP;FP
3;12;0;23;1;13;0,923076923;0,076923077;;1;1;0
1;18;0;18;0;18;1;0;;2;0,989473684;0,010526316
2;10;1;25;0;10;1;0;;3;0,939615385;0,060384615
3;7;0;28;1;8;0,875;0,125;;;;
1;13;1;22;0;13;1;0;;;;
2;18;0;17;1;19;0,947368421;0,052631579;;;;
3;4;0;32;0;4;1;0;;;;
1;16;0;20;0;16;1;0;;;;
2;10;1;25;0;10;1;0;;;;
3;9;0;26;1;10;0,9;0,1;;;;
1;8;0;28;0;8;1;0;;;;
2;16;0;20;0;16;1;0;;;;
3;12;0;24;0;12;1;0;;;;
30%;;;;;;;;;;;
1;7;0;29;0;7;1;0;;30%;;
2;20;0;16;0;20;1;0;;Clase;TP;FP
3;9;0;27;0;9;1;0;;1;1;0
1;10;0;26;0;10;1;0;;2;0,956818182;0,043181818
2;12;0;24;0;12;1;0;;3;1;0
3;14;0;22;0;14;1;0;;;;
1;15;0;21;0;15;1;0;;;;
2;10;0;25;1;11;0,909090909;0,090909091;;;;
3;10;1;25;0;10;1;0;;;;
1;9;0;27;0;9;1;0;;;;
2;16;0;20;0;16;1;0;;;;
3;11;0;25;0;11;1;0;;;;
1;13;2;21;0;13;1;0;;;;
2;14;0;20;2;16;0,875;0,125;;;;
3;7;0;29;0;7;1;0;;;;
